,State,Country,Last Update,Lat,Long,Confirmed,Recovered,Deaths,Active
0,,Afghanistan,2021-04-24 09:20:58,33.93911,67.709953,58542,52363,2565,3614
1,,Albania,2021-04-24 09:20:58,41.1533,20.1683,130270,104278,2367,23625
2,,Algeria,2021-04-24 09:20:58,28.0339,1.6596,120562,84038,3190,33334
3,,Andorra,2021-04-24 09:20:58,42.5063,1.5218,13007,12423,123,461
4,,Angola,2021-04-24 09:20:58,-11.2027,17.8739,25279,23089,574,1616
5,,Antigua and Barbuda,2021-04-24 09:20:58,17.0608,-61.7964,1222,995,31,196
6,,Argentina,2021-04-24 09:20:58,-38.4161,-63.6167,2824652,2474514,61176,288962
7,,Armenia,2021-04-24 09:20:58,40.0691,45.0382,212878,193360,4001,15517
8,Australian Capital Territory,Australia,2021-04-24 09:20:58,-35.4735,149.0124,123,120,3,0
9,New South Wales,Australia,2021-04-24 09:20:58,-33.8688,151.2093,5419,0,54,5365
10,Northern Territory,Australia,2021-04-24 09:20:58,-12.4634,130.8456,159,111,0,48
11,Queensland,Australia,2021-04-24 09:20:58,-27.4698,153.0251,1525,1454,7,64
12,South Australia,Australia,2021-04-24 09:20:58,-34.9285,138.6007,704,675,4,25
13,Tasmania,Australia,2021-04-24 09:20:58,-42.8821,147.3272,234,221,13,0
14,Victoria,Australia,2021-04-24 09:20:58,-37.8136,144.9631,20508,19665,820,23
15,Western Australia,Australia,2021-04-24 09:20:58,-31.9505,115.8605,984,946,9,29
16,,Austria,2021-04-24 09:20:58,47.5162,14.5501,606954,570684,10070,26200
17,,Azerbaijan,2021-04-24 09:20:58,40.1431,47.5769,309789,274766,4307,30716
18,,Bahamas,2021-04-24 09:20:58,25.025885,-78.035889,9976,9215,196,565
19,,Bahrain,2021-04-24 09:20:58,26.0275,50.55,169254,158133,617,10504
20,,Bangladesh,2021-04-24 09:20:58,23.685,90.3563,739703,647674,10869,81160
21,,Barbados,2021-04-24 09:20:58,13.1939,-59.5432,3820,3718,44,58
22,,Belarus,2021-04-24 09:20:58,53.7098,27.9534,350221,340660,2473,7088
23,Antwerp,Belgium,2021-04-24 09:20:58,51.2195,4.4024,123386,0,0,123386
24,Brussels,Belgium,2021-04-24 09:20:58,50.8503,4.3517,119935,0,0,119935
25,East Flanders,Belgium,2021-04-24 09:20:58,51.0362,3.7373,111290,0,0,111290
26,Flemish Brabant,Belgium,2021-04-24 09:20:58,50.9167,4.5833,73931,0,0,73931
27,Hainaut,Belgium,2021-04-24 09:20:58,50.5257,4.0621,143150,0,0,143150
28,Liege,Belgium,2021-04-24 09:20:58,50.4496,5.8492,119349,0,0,119349
29,Limburg,Belgium,2021-04-24 09:20:58,50.9739,5.342,52399,0,0,52399
30,Luxembourg,Belgium,2021-04-24 09:20:58,50.0547,5.4677,28349,0,0,28349
31,Namur,Belgium,2021-04-24 09:20:58,50.331,4.8221,53730,0,0,53730
32,Unknown,Belgium,2021-04-24 09:20:58,,,18287,0,23954,-5667
33,Walloon Brabant,Belgium,2021-04-24 09:20:58,50.4,4.35,37068,0,0,37068
34,West Flanders,Belgium,2021-04-24 09:20:58,51.0536,3.1458,87233,0,0,87233
35,,Belize,2021-04-24 09:20:58,17.1899,-88.4976,12599,12168,321,110
36,,Benin,2021-04-24 09:20:58,9.3077,2.3158,7720,7510,97,113
37,,Bhutan,2021-04-24 09:20:58,27.5142,90.4336,1008,926,1,81
38,,Bolivia,2021-04-24 09:20:58,-16.2902,-63.5887,295892,244079,12783,39030
39,,Bosnia and Herzegovina,2021-04-24 09:20:58,43.9159,17.6791,194733,153408,8203,33122
40,,Botswana,2021-04-24 09:20:58,-22.3285,24.6849,45855,41338,691,3826
41,Acre,Brazil,2021-04-24 09:20:58,-9.0238,-70.812,76376,63119,1465,11792
42,Alagoas,Brazil,2021-04-24 09:20:58,-9.5713,-36.782,169265,161436,4074,3755
43,Amapa,Brazil,2021-04-24 09:20:58,0.902,-52.003,104109,76149,1502,26458
44,Amazonas,Brazil,2021-04-24 09:20:58,-3.4168,-65.8561,366798,311360,12494,42944
45,Bahia,Brazil,2021-04-24 09:20:58,-12.5797,-41.7007,877484,843954,17804,15726
46,Ceara,Brazil,2021-04-24 09:20:58,-5.4984,-39.3206,641230,440233,16790,184207
47,Distrito Federal,Brazil,2021-04-24 09:20:58,-15.7998,-47.8645,371719,353241,7494,10984
48,Espirito Santo,Brazil,2021-04-24 09:20:58,-19.1834,-40.3089,425549,398099,9079,18371
49,Goias,Brazil,2021-04-24 09:20:58,-15.827,-49.8362,536340,511674,14343,10323
50,Maranhao,Brazil,2021-04-24 09:20:58,-4.9609,-45.2744,261350,234573,7063,19714
51,Mato Grosso,Brazil,2021-04-24 09:20:58,-12.6819,-56.9211,349426,330093,9273,10060
52,Mato Grosso do Sul,Brazil,2021-04-24 09:20:58,-20.7722,-54.7852,241673,224726,5422,11525
53,Minas Gerais,Brazil,2021-04-24 09:20:58,-18.5122,-44.555,1307937,1198780,31494,77663
54,Para,Brazil,2021-04-24 09:20:58,-1.9981,-54.9306,460306,431220,12354,16732
55,Paraiba,Brazil,2021-04-24 09:20:58,-7.24,-36.782,285323,195659,6607,83057
56,Parana,Brazil,2021-04-24 09:20:58,-25.2521,-52.0215,923580,661922,21199,240459
57,Pernambuco,Brazil,2021-04-24 09:20:58,-8.8137,-36.9541,391740,330763,13524,47453
58,Piaui,Brazil,2021-04-24 09:20:58,-7.7183,-42.7289,233228,227049,4886,1293
59,Rio Grande do Norte,Brazil,2021-04-24 09:20:58,-5.4026,-36.9541,215824,150649,5254,59921
60,Rio Grande do Sul,Brazil,2021-04-24 09:20:58,-30.0346,-51.2177,942712,905523,23975,13214
61,Rio de Janeiro,Brazil,2021-04-24 09:20:58,-22.9068,-43.1729,720749,669491,42634,8624
62,Rondonia,Brazil,2021-04-24 09:20:58,-11.5057,-63.5806,208292,190718,4999,12575
63,Roraima,Brazil,2021-04-24 09:20:58,-2.7376,-62.0751,94769,89008,1472,4289
64,Santa Catarina,Brazil,2021-04-24 09:20:58,-27.2423,-50.2189,868607,833192,13014,22401
65,Sao Paulo,Brazil,2021-04-24 09:20:58,-23.5505,-46.6333,2811562,2440374,91673,279515
66,Sergipe,Brazil,2021-04-24 09:20:58,-10.5741,-37.3857,195191,176222,4088,14881
67,Tocantins,Brazil,2021-04-24 09:20:58,-10.1753,-48.2982,155939,137045,2440,16454
68,,Brunei,2021-04-24 09:20:58,4.5353,114.7277,223,210,3,10
69,,Bulgaria,2021-04-24 09:20:58,42.7339,25.4858,396302,323877,15826,56599
70,,Burkina Faso,2021-04-24 09:20:58,12.2383,-1.5616,13231,12887,156,188
71,,Burma,2021-04-24 09:20:58,21.9162,95.956,142687,131921,3206,7560
72,,Burundi,2021-04-24 09:20:58,-3.3731,29.9189,3759,773,6,2980
73,,Cabo Verde,2021-04-24 09:20:58,16.5388,-23.0418,21784,18959,201,2624
74,,Cambodia,2021-04-24 09:20:58,11.55,104.9167,8848,3148,61,5639
